Rk,Class Year,Height,Player,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,2-point field goal percentage,3P/100,3P,3-point field goal percentage,Year
50,So,'7-0',Mark Williams,Duke,ACC,58.9,4.6,12.1,138.6,18.6,71.8,72.4,13.2,21.4,6.9,12.3,11.3,1.3,28.9,191-265,0.721,0.1,'0-1',0,2022
1,Jr,'7-4',Zach Edey,Purdue,B10,76.7,7.2,14.3,125.9,32.6,60.7,63.9,21.6,27.2,13.4,13.8,7.2,0.5,50.4,290-478,0.607,0,'0-0',0,2023
2,Sr,'6-4',Jalen Pickett,Penn St.,B10,89.8,6.6,10,118.7,29.3,55.2,57.6,4,19.6,39.3,13.2,1.6,1.6,23,215-394,0.546,5.4,'45-118',0.381,2023
3,Jr,'6-9',Trayce Jackson-Davis,Indiana,B10,78.7,6.4,14.7,118.5,30.1,58.2,60.9,10.1,24.7,24.8,14.3,9,1.4,46.7,262-450,0.582,0,'0-0',0,2023
4,Sr,'6-1',Antoine Davis,Detroit Mercy,Horz,92.5,6.1,5.2,115.6,35.1,52.3,56.8,1.3,8.5,22.7,14.9,0.1,2,24.3,140-338,0.414,18.6,'155-374',0.414,2023
5,Sr,'6-10',Drew Timme,Gonzaga,WCC,79.6,5.9,8.7,119.7,30.5,61.6,62.5,9.6,17.7,19.3,15.1,3.3,1,49,301-474,0.635,1.2,'4-24',0.167,2023
6,Jr,'7-1',Ryan Kalkbrenner,Creighton,BE,73.6,5.7,10,133.4,19.4,70.5,72.5,9.5,12,7.8,13.6,5.9,1.1,38.7,213-296,0.72,1,'6-19',0.316,2023
7,Sr,'6-2',Cam Shelton,Loyola Marymount,WCC,89,5.7,8.1,116.6,30.4,55.2,57.9,4,14.2,27.3,14,0.5,2.9,35.7,187-346,0.54,7.6,'55-142',0.387,2023
8,Sr,'6-5',Taevion Kinsey,Marshall,SB,94.1,5.6,7.5,122.3,26.3,56.4,59.9,4.3,8.9,26.6,12.1,1.3,2.4,40,246-440,0.559,2.2,'19-47',0.404,2023
9,Jr,'6-8',Kris Murray,Iowa,B10,75.6,5.6,8,118.5,25.6,54.8,57.2,8.5,17.8,11.7,9.5,3.4,1.7,25.9,151-259,0.583,11.2,'66-197',0.335,2023
10,Sr,'6-9',Oscar Tshiebwe,Kentucky,SEC,78.3,5.6,9.5,122.6,24.5,56,60.3,19.5,27.9,9.4,14.8,3.3,2.9,54,195-346,0.564,0.1,'0-2',0,2023
11,Jr,'6-1',Steven Ashworth,Utah St.,MWC,82.9,5.6,8.4,127.8,21.8,60.4,65.3,1.2,10.1,26.1,13.7,0.1,2.1,38.5,56-109,0.514,12.7,'106-247',0.429,2023
12,Sr,'7-0',Jake Stephens,Chattanooga,SC,56.1,5.6,10.8,120.9,30.5,61.5,66,7.8,26,26,17.8,7.7,1.8,44.5,112-184,0.609,9.3,'48-115',0.417,2023
13,Sr,'6-1',Xavier Castaneda,Akron,MAC,79.4,5.5,8,121.9,29.4,54.4,62.3,2.8,11.8,19,13.5,0.2,1.7,59.1,65-136,0.478,15.9,'102-265',0.385,2023
14,Sr,'5-11',Tylor Perry,North Texas,CUSA,82.6,5.5,10.1,124.3,24.4,57.2,63.3,2,10.7,12.6,13.7,0.2,2.7,43.6,63-132,0.477,15,'111-269',0.413,2023
15,So,'6-5',Brandin Podziemski,Santa Clara,WCC,86.2,5.4,10,120.5,25.5,57.6,60.8,5.5,21,20.8,14,1.3,2.8,32.3,137-267,0.513,9,'80-179',0.447,2023
16,Sr,'6-3',Adam Flagler,Baylor,B12,78.9,5.4,7,120.4,22.8,52.8,56.2,1.1,7.7,27.9,13,0.2,2.1,26.6,88-194,0.454,10.9,'80-200',0.4,2023
17,Sr,'6-7',Jordan Miller,Miami FL,ACC,86.9,5.4,6.9,127.2,20,58.5,61.6,7.2,14,14.1,11.1,1.3,2,31.3,186-309,0.602,4.1,'32-91',0.352,2023
18,Sr,'6-0',Kendric Davis,Memphis,Amer,84.2,5.4,7.2,111.1,31.4,47.3,55.1,1.8,9.7,30,15.5,0.6,3.1,47.4,163-363,0.449,8.8,'65-188',0.346,2023
19,Sr,'5-9',Darius McGhee,Liberty,ASun,82.1,5.3,11,114.4,33.6,55.8,58.9,1.6,11.3,21.3,10.9,0.6,3.1,20.5,107-205,0.522,22.1,'150-390',0.385,2023
20,Sr,'6-0',Isaiah Stevens,Colorado St.,MWC,71.8,5.3,4.4,111.9,28,51.5,55.5,2.4,8.7,38.1,13.2,0.9,1.2,23.8,118-236,0.5,7.9,'44-121',0.364,2023
21,Sr,'6-0',Max Abmas,Oral Roberts,Sum,91.1,5.2,5.4,120.3,27.5,54.5,60.2,1.5,10.1,19.8,11.3,0.6,1.8,33.4,104-201,0.517,14.4,'108-287',0.376,2023
22,Sr,'5-8',Markquis Nowell,Kansas St.,B12,90.7,5.2,8.6,111,27.6,48.1,56,1.2,9.7,42.9,20.4,0.2,3.9,44.6,92-218,0.422,10.6,'88-248',0.355,2023
23,Jr,'6-11',Azuolas Tubelis,Arizona,P12,75.6,5.2,8.8,116.1,28.4,58,61.4,10.6,21.8,14,15.3,2.3,2.1,37,264-449,0.588,1.7,10-32',0.313,2023
24,Sr,'6-2',Marcus Sasser,Houston,Amer,74.9,5.1,11,123.5,24.9,54.9,59.8,1.4,8.9,19.6,12.9,0.7,3.2,34.7,95-185,0.514,13.9,'96-250',0.384,2023
25,Sr,'6-2',Cameron Parker,Portland St.,BSky,85.1,5.1,5.7,122.4,24.9,55.1,64,0.9,12.5,35.9,15.7,0.2,1.8,82.2,131-243,0.539,2.5,'18-44',0.409,2023
26,Jr,'6-2',RayJ Dennis,Toledo,MAC,84.9,5,4.9,119.5,28.6,53.1,56,2.7,12.1,31.6,11.5,0.6,2.4,23.7,206-392,0.526,6.9,'51-140',0.364,2023
27,Sr,'6-1',Tyree Appleby,Wake Forest,ACC,91.1,5,5.3,112,28.7,51.5,58,1.4,9.4,34.6,18.6,0.2,2.7,48.4,109-222,0.491,10.1,'77-214',0.36,2023
28,Sr,'5-11',Jordan Walker,UAB,CUSA,70.5,5,7.7,114.8,30.4,52.2,56.5,1.1,7.8,26.3,15.3,0,2.1,28.1,98-219,0.447,18.3,'135-357',0.378,2023
29,Jr,'7-1',Hunter Dickinson,Michigan,B10,80,5,9.3,116.4,27.1,58.7,61.4,8.3,22.4,10.5,13.6,5.4,0.9,36.9,220-379,0.58,3,'24-57',0.421,2023
30,Sr,'6-8',Kobe Brown,Missouri,SEC,71.2,5,8.1,125.6,23.5,62.5,65.5,7.3,18.3,16.7,13.6,1.9,2.8,35.6,143-239,0.598,6.4,'51-112',0.455,2023
31,Fr,'6-9',Brandon Miller,Alabama,SEC,80,4.9,11,117,25,53.3,58.3,6.7,17.7,12.7,14.7,2.4,1.5,32.9,116-240,0.483,12.5,'106-276',0.384,2023
32,Jr,'6-10',Josh Cohen,Saint Francis,NEC,86.4,4.9,5,118.4,29.9,58.5,60.5,8.8,19.3,17.4,10.5,2.7,1.5,56.6,245-418,0.586,0.1,'0-1',0,2023
33,Sr,'6-3',Souley Boum,Xavier,BE,87.9,4.9,5.3,119.2,21.1,53.2,59.6,1.3,12.2,20,14.1,0.4,1.6,42.1,108-230,0.47,8.2,'78-193',0.404,2023
34,Jr,'6-9',Adama Sanogo,Connecticut,BE,66.5,4.8,10.3,122.7,26.4,62.7,64.8,11.6,21.3,11.5,16.1,3.2,1.5,28,258-405,0.637,2.9,'19-52',0.365,2023
35,Sr,'6-7',JT Shumate,Toledo,MAC,73.5,4.8,5.2,135.2,21.1,61.6,65.6,6.7,11.9,7.9,7.3,3.9,1.1,33,140-228,0.614,7.5,'55-133',0.414,2023
36,Jr,'6-3',Jordan Dingle,Penn,Ivy,79.6,4.8,5.7,112.7,32.2,54.6,59.7,2.5,9.4,15.7,15.2,0.5,1.9,35.5,141-254,0.555,13.6,'77-216',0.356,2023
37,Sr,'6-7',Jaime Jaquez Jr.,UCLA,P12,83.1,4.8,9.5,113.1,27.2,51.1,54.3,9,20.2,14.6,11.9,2.2,2.8,24.9,228-439,0.519,5,'33-104',0.317,2023
38,Sr,'6-10',KJ Williams,LSU,SEC,82.1,4.8,7.2,118.3,24.4,55.6,58.7,9.8,17.7,7.5,10.9,2.9,2.2,27.6,157-298,0.527,7.8,'58-141',0.411,2023
39,Jr,'6-8',Eric Dixon,Villanova,BE,78.8,4.7,6,116.3,25.6,54.7,58.6,9.3,16.4,10.5,11.2,2.4,1,33.7,148-275,0.538,6.4,'42-111',0.378,2023
40,So,'6-5',Ajay Mitchell,UC Santa Barbara,BW,86.6,4.7,4.8,117.3,26.2,53.6,59.8,1.3,8.8,29.7,14.6,0.9,2.3,49.7,174-308,0.565,3.7,'19-70',0.271,2023
41,Sr,'6-3',Boogie Ellis,USC,P12,82.4,4.7,6.3,113.3,25.6,52.9,57.3,1.1,10.8,19.8,12.9,0.7,2.5,34,107-223,0.48,11.5,'83-215',0.386,2023
42,Jr,'6-3',Tyler Kolek,Marquette,BE,79.7,4.7,8.1,117.8,24.2,53.9,57.9,2.8,12.6,39.5,18.5,0.5,3.2,31.7,118-232,0.509,5.9,'47-118',0.398,2023
43,So,'6-10',DaRon Holmes II,Dayton,A10,85,4.7,7.4,115.6,27,59.7,62.1,11,16.9,12.1,15.8,6.5,1.4,60.5,224-371,0.604,1,'6-19',0.316,2023
44,Sr,'6-9',DeAndre Williams,Memphis,Amer,76.7,4.7,9.1,115.9,26.8,56.5,59.3,9.5,19.8,19.2,15.3,3.6,2.6,34.1,210-377,0.557,3.7,'29-72',0.403,2023
45,Jr,'6-6',Omari Moore,San Jose St.,MWC,91.1,4.7,6.1,110,28.1,49.2,52.5,2.9,12.3,30.6,16.1,2.1,1.3,24.8,151-313,0.482,9.9,'66-195',0.338,2023
46,Jr,'6-8',Jalen Wilson,Kansas,B12,87.8,4.7,5.9,106.2,28.2,49,54,5.2,20.8,12.5,13.4,1.4,1.5,34.6,177-367,0.482,9.3,'70-208',0.337,2023
47,Sr,'6-9',Joey Hauser,Michigan St.,B10,83.9,4.7,7.4,121.4,19.5,59.7,63.6,4.8,19.1,10.6,13.6,0.7,0.7,28.6,87-172,0.506,8.8,'77-167',0.461,2023
48,Jr,'6-9',Isaac Jones,Idaho,BSky,77.9,4.6,4.9,118.7,28.7,62.5,64.5,7.9,22.9,14.6,13.5,3.8,1.2,60.2,203-319,0.636,1.1,'5-18',0.278,2023
49,So,'6-5',Jordan Hawkins,Connecticut,BE,69.6,4.6,7.4,121.2,22.7,53.1,58.4,3.9,10.8,8.2,11.9,1.8,1.4,31.7,73-164,0.445,15.2,'109-281',0.388,2023
50,Jr,'6-11',Max Fiedler,Rice,CUSA,77.2,4.6,6.2,129,19.7,73.2,72,12.1,16.6,32.5,22.7,3.7,1.4,30,161-217,0.742,0.2,'0-3',0,2023
1,Sr,'7-4',Zach Edey,Purdue,B10,79.2,7.9,15.5,128.8,33.4,62.4,65.9,18.1,25.5,14.6,12.7,6.9,0.5,80.9,335-537,0.624,0.1,'1-2',0.5,2024
2,Sr,'6-1',Mark Sears,Alabama,SEC,83.6,6.6,10.3,129.1,25.6,60.4,65.8,2.8,10.2,21.2,15.5,0.3,2.6,46.6,157-278,0.565,9.5,'95-218',0.436,2024
3,Sr,'6-6',Terrence Shannon Jr.,Illinois,B10,70.6,6.6,10.6,124.8,27.9,55.9,62.1,2.7,10,13.2,12.1,2.3,1.7,59.9,142-248,0.573,11.2,'77-213',0.362,2024
4,Jr,'6-2',KJ Simpson,Colorado,P12,86.8,6,9.2,122.6,26.4,55.2,60.6,2.8,16.4,27.1,13.9,0.2,2.7,36.3,164-330,0.497,8.1,'79-182',0.434,2024
5,Sr,'6-9',Jaedon LeDee,San Diego St.,MWC,79.3,5.9,10.1,119.7,30.5,57.6,62.3,11.7,16.8,10.2,13.9,1.9,2.2,66.7,233-409,0.57,2.2,'18-42',0.429,2024
6,Jr,'6-10',DaRon Holmes II,Dayton,A10,80.7,5.9,11.5,119.1,31.2,58.4,62.6,6.8,23.7,19,13.7,7.2,1.8,72.4,185-316,0.585,4.8,'32-83',0.386,2024
7,Sr,'6-4',Cam Spencer,Connecticut,BE,82,5.8,11.2,137.1,18.5,60.6,64,4,12.5,18.9,10,0.8,2.7,22.2,97-180,0.539,10.4,'99-225',0.44,2024
8,Sr,'6-0',RJ Davis,North Carolina,ACC,86.7,5.8,9.7,120.8,26.1,52.1,56.9,1.5,9.6,20,9.2,0.6,2,28.5,147-323,0.455,12.4,'113-284',0.398,2024
9,Sr,'7-1',Ryan Kalkbrenner,Creighton,BE,84.4,5.8,9.4,129.1,21,66.8,68,9.3,15.2,7.1,12.1,7.6,0.6,39.9,225-319,0.705,2.6,'16-54',0.296,2024
10,Sr,'6-1',Xavier Johnson,Southern Illinois,MVC,91.3,5.5,6.3,112.2,34.1,48.7,57.3,1.8,12.5,39.4,16.7,0.7,2.5,50.3,137-307,0.446,9.5,'66-178',0.371,2024
11,Jr,'6-8',Tyson Degenhart,Boise St.,MWC,83,5.5,8.5,126.8,22.6,53.9,59.9,7.8,15,9.3,8,1,1.9,52.5,141-252,0.56,5.4,'30-93',0.323,2024
12,Sr,'6-3',Tyler Kolek,Marquette,BE,68.8,5.3,9.2,118.4,26.6,56.3,60,2.6,14.8,42.1,18.9,0.6,2.8,26.8,127-230,0.552,6.8,'47-121',0.388,2024
13,Sr,'6-5',Tristen Newton,Connecticut,BE,83,5.2,9.6,119.9,26.1,49.5,56.1,5.4,16.8,31.2,17.1,0.9,1.7,47.4,111-218,0.509,10.1,'71-221',0.321,2024
14,Sr,'6-2',Boo Buie,Northwestern,B10,90.6,5.2,6.3,114.4,27.8,52.9,57.5,2.2,9.5,28.7,13.7,0.2,2.4,30.1,126-286,0.441,10.1,'89-205',0.434,2024
15,So,'6-10',Robbie Avila,Indiana St.,MVC,75.6,5.2,8.6,127,25.2,60.9,64.8,5,18.8,24.4,12.8,2,1.2,40,163-263,0.62,7.6,'61-155',0.394,2024
16,So,'6-7',Caden Pierce,Princeton,Ivy,86.8,5.2,7.5,123.2,25.7,59,62.4,7.3,27.3,20.2,13,1.8,2.3,39.9,147-240,0.613,5.1,'27-78',0.346,2024
17,Sr,'6-6',Antonio Reeves,Kentucky,SEC,77.8,5.2,6.2,126.5,23.6,60.3,64,2.7,11.1,9.2,8.9,0.8,1.1,28.5,151-271,0.557,9.8,'84-188',0.447,2024
18,Sr,'6-4',Zyon Pullin,Florida,SEC,75.5,5.2,5.8,127.4,20.5,49.3,57.4,2.2,10.1,24.7,10.3,0.3,1.5,53.4,123-278,0.442,3.8,'35-78',0.449,2024
19,Sr,'6-7',Baylor Scheierman,Creighton,BE,89.8,5.2,8.7,116.5,24.9,56,59.6,2.6,23.2,19.9,14.4,0.3,1.5,23.1,109-200,0.545,13.3,'110-289',0.381,2024
20,Sr,'6-7',Riley Minix,Morehead St.,OVC,87.3,5.2,8.1,122.7,28.1,60.4,64,9.7,21.1,14.4,15.3,3.1,2.1,32.7,190-292,0.651,8.6,'52-152',0.342,2024
21,Sr,'6-1',Jahmir Young,Maryland,B10,84.7,5.1,9.7,110.9,30.7,46,54.6,3.2,12.9,30,15,0.9,2.3,44.6,143-320,0.447,9.2,'56-173',0.324,2024
22,So,'6-2',Bruce Thornton,Ohio St.,B10,81,4.9,7.1,121.3,23.2,49.5,55.4,1.5,10.6,27.6,9.1,0.2,2.1,36.1,123-250,0.492,8.7,'58-174',0.333,2024
23,Sr,'6-11',N'Faly Dante,Oregon,P12,47.5,4.9,11.7,120.1,24.2,69.5,68.6,10.3,24.5,11.2,18.2,6.6,3.2,50.5,153-220,0.695,0,'0-0',0,2024
24,Jr,'6-6',Dillon Jones,Weber St.,BSky,93.3,4.9,7.6,113.3,31.2,52,58.6,2.9,31,31.3,16.1,0.3,3.1,45.4,174-326,0.534,5.6,'32-101',0.317,2024
25,Jr,'6-3',Devin Carter,Providence,BE,82.3,4.9,11.4,112.7,27.8,56.4,59.8,3.4,23.7,23.3,16.1,2.8,2.9,37.6,135-240,0.563,11.2,'84-223',0.377,2024
26,Sr,'6-7',Keion Brooks Jr.,Washington,P12,86.1,4.9,5.6,115.1,26.1,54.3,59.4,4.9,16.7,7.7,11.6,2.1,1.1,44.7,176-331,0.532,6.8,'52-137',0.38,2024
27,Jr,'6-7',Frankie Fidler,Nebraska Omaha,Sum,92.4,4.8,5.5,120.5,26.9,52.1,60.4,4,17.4,15.6,10.3,1.4,1.9,56.5,136-269,0.506,7.3,'49-133',0.368,2024
28,Sr,'6-11',Drew Pember,UNC Asheville,BSth,76.2,4.8,10.5,116.8,32.2,53.5,61.9,5.5,24.5,24.9,16.1,6,1.6,64.8,117-224,0.522,10.5,'64-174',0.368,2024
29,Sr,'6-6',Dalton Knecht,Tennessee,SEC,76.6,4.8,9.9,114.5,29.8,53.8,57.7,2.8,14.3,13.4,10.6,2.4,1.3,35.4,171-343,0.499,12.1,'93-234',0.397,2024
30,Sr,'6-3',Quincy Olivari,Xavier,BE,80.6,4.8,7.9,117.1,24.6,53.9,58.9,1.7,16.9,13.2,11,0.2,2.3,39.3,92-207,0.444,13.2,'106-259',0.409,2024
31,Sr,'6-11',Joel Soriano,St. John's,BE,70.5,4.8,8.3,128.5,21.6,58.9,62,14.2,23.2,9.3,11.4,6.6,0.4,55.3,161-275,0.585,1,'7-16',0.438,2024
32,Sr,'6-9',Jalen Bridges,Baylor,B12,78.5,4.8,8.7,130.1,16.8,58.5,61.6,7.7,15.1,8.2,10.4,1.9,1.9,25.9,69-130,0.531,9.6,'73-175',0.417,2024
33,Sr,'6-6',David Jones,Memphis,Amer,80.5,4.7,8,114,30.5,54,59.3,8.9,16.7,11.8,16.8,1.5,3.7,44.7,144-278,0.518,11.1,'79-208',0.38,2024
34,Sr,'6-0',Isaiah Stevens,Colorado St.,MWC,87.5,4.7,6.6,114.9,26,53.8,57.5,1.7,8.9,38.8,15.6,0.5,2.1,25.3,139-283,0.491,7,'59-140',0.421,2024
35,Jr,'6-5',Hunter Sallis,Wake Forest,ACC,85.5,4.7,6.3,115.7,23.9,56.8,59.6,2.3,11.3,14.1,12.9,1.7,1.8,25,149-275,0.542,8.9,'75-185',0.405,2024
36,Jr,'6-9',Jonathan Mogbo,San Francisco,WCC,72.9,4.6,10.5,128,24.5,62.5,63.9,14.3,29.6,24.3,14.7,3.4,3.2,32.2,198-315,0.629,0.1,'0-2',0,2024
37,Sr,'6-1',L.J. Cryer,Houston,B12,79.3,4.6,8.2,120.8,22,52.6,55.1,2.2,6.3,12.1,8.4,0.5,2.1,14.4,88-198,0.444,15.2,'112-289',0.388,2024
38,So,'6-3',Xaivian Lee,Princeton,Ivy,81.9,4.6,6.6,116.4,28.9,52,56.5,2.6,20.4,24.7,9.8,1.7,2,33.6,117-221,0.529,10.4,'51-151',0.338,2024
39,Fr,'6-3',PJ Haggerty,Tulsa,Amer,83.8,4.6,6.4,114.3,30.3,51.4,59.3,3.6,14.1,26.3,13.9,0.1,3.2,75.6,171-320,0.534,4,'21-74',0.284,2024
40,Sr,'6-7',Enrique Freeman,Akron,MAC,81.8,4.6,7.9,118.4,28.1,61.1,64.5,11.8,32.8,10.9,17.3,5.9,1.4,59.4,203-327,0.621,2.9,'19-52',0.365,2024
41,Jr,'6-5',Kam Jones,Marquette,BE,70.2,4.5,8.6,118.6,25.4,60.2,61.4,1.8,9.7,16.7,10.7,0.2,2.3,16.2,140-235,0.596,12.9,'95-234',0.406,2024
42,Jr,'6-7',Payton Sandfort,Iowa,B10,75.9,4.5,7.3,121.6,22.6,56.2,60.8,4.5,19.2,15.4,10.6,1.4,1.3,27.7,86-156,0.551,13.1,'94-248',0.379,2024
43,Sr,'6-8',Eric Dixon,Villanova,BE,74.7,4.5,8.3,114.4,28.4,53.1,58.5,8.2,17.1,13.4,12.7,2,1.7,34.9,138-256,0.539,9.6,'55-159',0.346,2024
44,Sr,'7-0',Quinten Post,Boston College,ACC,77.1,4.5,8.9,114.7,27,57,60.5,7.5,21.8,18.7,16.9,6,1.6,28.4,172-317,0.543,6.2,'50-116',0.431,2024
45,Jr,'6-0',Wade Taylor IV,Texas A&M,SEC,81.7,4.5,6.6,109.8,29.8,45,50.9,1.4,10.4,26.7,16.9,0.1,3.3,32.5,116-283,0.41,15.1,'98-302',0.325,2024
46,So,'6-8',Alex Karaban,Connecticut,BE,76.6,4.5,8.5,130.3,17.1,60,62.3,5.7,12.5,8,9.5,2.8,1.7,15.8,110-172,0.64,10.6,'81-214',0.379,2024
47,Sr,'6-7',Emanuel Miller,TCU,B12,80.4,4.5,6.4,121.1,21.8,52.6,57.9,7.6,14.3,14.7,11.9,1.4,1.9,40.4,158-308,0.513,4.1,'31-81',0.383,2024
48,Sr,'6-8',Mikeal Brown-Jones,UNC Greensboro,SC,64.2,4.5,5.1,121.6,29.5,57.7,63.2,8.6,22,8.7,12.2,3.6,1.3,61.2,141-253,0.557,4.6,'26-59',0.441,2024
49,So,'7-0',Kyle Filipowski,Duke,ACC,76,4.5,10.1,114.5,27.7,55.1,57.5,8.6,22.6,18.4,14.9,5.2,2.3,38.4,181-323,0.56,6.1,'39-112',0.348,2024
50,Sr,'6-8',Anton Watson,Gonzaga,WCC,79.5,4.5,9.2,125.5,20.9,60.2,61.5,8.7,16.5,13.4,12,2.1,2.8,36,174-290,0.6,2.6,'20-49',0.408,2024